"TaxonID","SynName"
6892,"Stauracanthus boivinii (Webb) Samp."
3078,"Stegia trimestris (L.) Risso"
3082,"Stipa tortilis Desf."
6248,"Tamus communis L."
5965,"Taraxacum officinale Weber"
5965,"Taraxacum vulgare (Lam.) Schrank"
6893,"Teline monspessulana (L.) C. Koch."
3770,"Teucrium polium L. ssp. capitatum (L.) Arcangeli"
4031,"Teucrium ronnigeri Sennen"
3134,"Thlaspi rotundifolium Tineo"
3456,"Thymbra capitata (L.) Cav."
4089,"Thymus aestivus Wilk."
3456,"Thymus capitatus (L.) Hoffmanns. & Link"
3788,"Thymus fontqueri (Jalas) Molero & Rovira"
6091,"Trachomitum venetum (L.) Woodson"
3618,"Tremastelma palaestinum (L.) Janchen"
6132,"Trigonella halophila Boiss."
3832,"Ulex eriocladus C. Vicioso"
3239,"Vicia angustifolia L."
3844,"Vicia tenuissima (Bieb.) Schinz & Thell."
3272,"Viola scotophylla Jordan"
3252,"Viola sylvestris Lamk. ssp. sylvestris"
4048,"Xolantha guttata (L.) Raf."
3996,"Xolantha tuberaria (L.) Gallego"
6907,"Zygophyllum album L. fil."
